Geracao,Melhor_Fitness,Pior_Fitness,Media_Fitness
0,121,-5086,-188.19
1,198905,-5101,1441.23
2,-51,-5088,-389.59
3,124,-5088,-341.53
4,196915,-5101,1720.42
5,-90,-5096,-744.07
6,-90,-5098,-1044.65
7,114,-5085,-182.57
8,-90,-5096,-644.38
9,88,-5088,-192.12
10,124,-5091,-336.37
11,109,-5095,-392.28
12,-89,-5096,-1044.35
13,-90,-5096,-794.5
14,-84,-5098,-393.97
15,-90,-5098,-695.0
16,17918,-5101,-69.37
17,-90,-5096,-743.6
18,200015,-5101,1503.76
19,1910,-5101,-269.19
20,17905,-5101,-68.26
21,-90,-5096,-744.65
22,168,-5086,-438.13
23,109,-5100,-388.29
24,136,-5086,-140.22
25,197910,-5101,1633.15
26,-90,-5096,-944.26
27,-95,-5096,-1443.55
28,-29,-95,-92.98
29,2910,-5101,-267.39
30,-85,-5096,-844.15
31,-90,-5096,-794.64
32,-95,-5101,-609.96
33,-90,-5096,-794.68
34,93,-5095,-337.5
35,-87,-5096,-794.23
36,-89,-5100,-644.84
37,6905,-5101,-226.84
38,-60,-5074,-212.62
39,240,-5086,-180.22
40,-90,-5096,-894.41
41,-95,-5096,-844.76
42,191928,-5101,1721.18
43,1925,-5101,-629.26
44,-19,-5086,-143.79
45,-90,-5096,-794.39
46,-90,-5096,-1044.29
47,-87,-5096,-1044.26
48,-90,-5096,-744.52
49,-90,-5096,-993.83
