Ambiente;4x4;4x4;4x4;5x5;5x5;5x5;10x10;10x10;10x10;15x15;15x15;15x15;20x20;20x20;20x20
Agente;v1;v2;v3;v1;v2;v3;v1;v2;v3;v1;v2;v3;v1;v2;v3
Execução;;;;;;;;;;;;;;;
1;-200.0;1980.0;999.0;-200.0;-1004.0;999.0;-200.0;-1001.0;999.0;-200.0;-1015.0;999.0;-200.0;-1011.0;999.0
2;-200.0;1995.0;995.0;-200.0;-1016.0;995.0;-200.0;-1006.0;995.0;-200.0;-1013.0;995.0;-200.0;-1052.0;995.0
3;-200.0;1990.0;995.0;-200.0;-1007.0;995.0;-200.0;-1034.0;995.0;-200.0;-1018.0;995.0;-200.0;-1056.0;995.0
4;-200.0;1998.0;995.0;-200.0;-1005.0;995.0;-200.0;-1003.0;995.0;-200.0;-1019.0;995.0;-200.0;-1166.0;995.0
5;-200.0;-1001.0;995.0;-200.0;-1006.0;995.0;-200.0;-1158.0;995.0;-200.0;-1028.0;995.0;-200.0;-1019.0;995.0
6;-200.0;-1009.0;995.0;-200.0;1997.0;995.0;-200.0;-1021.0;995.0;-200.0;-1005.0;995.0;-200.0;-1150.0;995.0
7;-200.0;-1016.0;995.0;-200.0;-1033.0;995.0;-200.0;-1049.0;995.0;-200.0;-1002.0;995.0;-200.0;-1006.0;995.0
8;-200.0;-1004.0;995.0;-200.0;-1001.0;995.0;-200.0;-1015.0;995.0;-200.0;-1018.0;995.0;-200.0;-1021.0;995.0
9;-200.0;-1013.0;995.0;-200.0;-1002.0;995.0;-200.0;-1004.0;995.0;-200.0;-1019.0;995.0;-200.0;-1001.0;995.0
10;-200.0;-1001.0;995.0;-200.0;-1002.0;995.0;-200.0;-1027.0;995.0;-200.0;-1003.0;995.0;-200.0;-1005.0;995.0
11;-200.0;-1003.0;995.0;-200.0;-1005.0;995.0;-200.0;-1002.0;995.0;-200.0;-1019.0;995.0;-200.0;-1083.0;995.0
12;-200.0;-1018.0;995.0;-200.0;-1002.0;995.0;-200.0;-1031.0;995.0;-200.0;-1001.0;995.0;-200.0;-1079.0;995.0
13;-200.0;-1003.0;995.0;-200.0;-1028.0;995.0;-200.0;-1025.0;995.0;-200.0;-1034.0;995.0;-200.0;-1031.0;995.0
14;-200.0;-1004.0;995.0;-200.0;-1003.0;995.0;-200.0;-1018.0;995.0;-200.0;-1042.0;995.0;-200.0;-1049.0;995.0
15;-200.0;1998.0;995.0;-200.0;1993.0;995.0;-200.0;-1003.0;995.0;-200.0;-1058.0;995.0;-200.0;-1053.0;995.0
16;-200.0;-1005.0;995.0;-200.0;-1004.0;995.0;-200.0;-1017.0;995.0;-200.0;-1067.0;995.0;-200.0;-1080.0;995.0
17;-200.0;-1002.0;995.0;-200.0;-1004.0;995.0;-200.0;-1011.0;995.0;-200.0;-1016.0;995.0;-200.0;-1115.0;995.0
18;-200.0;-1005.0;995.0;-200.0;-1018.0;995.0;-200.0;-1001.0;995.0;-200.0;-1024.0;995.0;-200.0;-1042.0;995.0
19;-200.0;-1002.0;995.0;-200.0;-1003.0;995.0;-200.0;-1001.0;995.0;-200.0;-1001.0;995.0;-200.0;-1013.0;995.0
20;-200.0;-1001.0;995.0;-200.0;-1022.0;995.0;-200.0;-1030.0;995.0;-200.0;-1024.0;995.0;-200.0;-1001.0;995.0
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
